gem_id,url_name,hero,card,copies
39566227,pro-tour-london,"Aurora, Shooting Star",Aether Ironweave,0
39566227,pro-tour-london,"Aurora, Shooting Star",Arc Lightning,3
39566227,pro-tour-london,"Aurora, Shooting Star",Arcanic Shockwave,0
39566227,pro-tour-london,"Aurora, Shooting Star",Arcanite Fortress,0
39566227,pro-tour-london,"Aurora, Shooting Star",Arcanite Skullcap,0
39566227,pro-tour-london,"Aurora, Shooting Star",Balance of Justice,1
39566227,pro-tour-london,"Aurora, Shooting Star",Battlefront Bastion,0
39566227,pro-tour-london,"Aurora, Shooting Star",Blanch,0
39566227,pro-tour-london,"Aurora, Shooting Star",Blast to Oblivion,0
39566227,pro-tour-london,"Aurora, Shooting Star",Blink,0
39566227,pro-tour-london,"Aurora, Shooting Star",Burn Up||Shock,3
39566227,pro-tour-london,"Aurora, Shooting Star",Chains of Eminence,0
39566227,pro-tour-london,"Aurora, Shooting Star",Channel Lightning Valley,3
39566227,pro-tour-london,"Aurora, Shooting Star",Command and Conquer,0
39566227,pro-tour-london,"Aurora, Shooting Star",Crown of Dominion,0
39566227,pro-tour-london,"Aurora, Shooting Star",Crown of Providence,1
39566227,pro-tour-london,"Aurora, Shooting Star",Current Funnel,3
39566227,pro-tour-london,"Aurora, Shooting Star",Down and Dirty,0
39566227,pro-tour-london,"Aurora, Shooting Star",Dyadic Carapace,1
39566227,pro-tour-london,"Aurora, Shooting Star",Electromagnetic Somersault,3
39566227,pro-tour-london,"Aurora, Shooting Star",Electrostatic Discharge,3
39566227,pro-tour-london,"Aurora, Shooting Star",Enlightened Strike,3
39566227,pro-tour-london,"Aurora, Shooting Star",Entwine Lightning,3
39566227,pro-tour-london,"Aurora, Shooting Star",Exude Confidence,3
39566227,pro-tour-london,"Aurora, Shooting Star",Face Purgatory,0
39566227,pro-tour-london,"Aurora, Shooting Star",Flashfreeze,0
39566227,pro-tour-london,"Aurora, Shooting Star",Flicker Wisp,1
39566227,pro-tour-london,"Aurora, Shooting Star",Flittering Charge,3
39566227,pro-tour-london,"Aurora, Shooting Star",Fry,0
39566227,pro-tour-london,"Aurora, Shooting Star",Fyendal's Spring Tunic,1
39566227,pro-tour-london,"Aurora, Shooting Star",Gone in a Flash,3
39566227,pro-tour-london,"Aurora, Shooting Star",Grasp of the Arknight,1
39566227,pro-tour-london,"Aurora, Shooting Star",Heaven's Claws,0
39566227,pro-tour-london,"Aurora, Shooting Star",Lightning Greaves,1
39566227,pro-tour-london,"Aurora, Shooting Star",Lightning Press,3
39566227,pro-tour-london,"Aurora, Shooting Star",Lightning Surge,2
39566227,pro-tour-london,"Aurora, Shooting Star",Malefic Incantation,0
39566227,pro-tour-london,"Aurora, Shooting Star",Nasty Surprise,0
39566227,pro-tour-london,"Aurora, Shooting Star",Ninth Blade of the Blood Oath,0
39566227,pro-tour-london,"Aurora, Shooting Star",Poison the Well,2
39566227,pro-tour-london,"Aurora, Shooting Star",Ravenous Rabble,3
39566227,pro-tour-london,"Aurora, Shooting Star",Reaping Blade,0
39566227,pro-tour-london,"Aurora, Shooting Star",Remembrance,0
