url_name,round,gem_id,hero,opponent,outcome,table_id
battle-hardened-perth-2025-beyond-odyssey,1,71797322,"Florian, Rotwood Harbinger","Cindra, Dracai of Retribution",0,11
battle-hardened-perth-2025-beyond-odyssey,1,71797322,"Florian, Rotwood Harbinger","Cindra, Dracai of Retribution",0,11
battle-hardened-perth-2025-beyond-odyssey,1,71797322,"Florian, Rotwood Harbinger","Cindra, Dracai of Retribution",0,11
battle-hardened-perth-2025-beyond-odyssey,1,71797322,"Florian, Rotwood Harbinger","Cindra, Dracai of Retribution",0,11
battle-hardened-perth-2025-beyond-odyssey,1,71797322,"Florian, Rotwood Harbinger","Cindra, Dracai of Retribution",0,11
battle-hardened-perth-2025-beyond-odyssey,1,2898,"Cindra, Dracai of Retribution","Florian, Rotwood Harbinger",1,11
battle-hardened-perth-2025-beyond-odyssey,1,2898,"Cindra, Dracai of Retribution","Florian, Rotwood Harbinger",1,11
battle-hardened-perth-2025-beyond-odyssey,1,2898,"Cindra, Dracai of Retribution","Florian, Rotwood Harbinger",1,11
battle-hardened-perth-2025-beyond-odyssey,1,2898,"Cindra, Dracai of Retribution","Florian, Rotwood Harbinger",1,11
battle-hardened-perth-2025-beyond-odyssey,1,2898,"Cindra, Dracai of Retribution","Florian, Rotwood Harbinger",1,11
battle-hardened-perth-2025-beyond-odyssey,1,69637783,Dorinthea Ironsong,"Verdance, Thorn of the Rose",0,12
battle-hardened-perth-2025-beyond-odyssey,1,69637783,Dorinthea Ironsong,"Verdance, Thorn of the Rose",0,12
battle-hardened-perth-2025-beyond-odyssey,1,69637783,Dorinthea Ironsong,"Verdance, Thorn of the Rose",0,12
battle-hardened-perth-2025-beyond-odyssey,1,69637783,Dorinthea Ironsong,"Verdance, Thorn of the Rose",0,12
battle-hardened-perth-2025-beyond-odyssey,1,69637783,Dorinthea Ironsong,"Verdance, Thorn of the Rose",0,12
battle-hardened-perth-2025-beyond-odyssey,1,23737341,"Verdance, Thorn of the Rose",Dorinthea Ironsong,1,12
battle-hardened-perth-2025-beyond-odyssey,1,23737341,"Verdance, Thorn of the Rose",Dorinthea Ironsong,1,12
battle-hardened-perth-2025-beyond-odyssey,1,23737341,"Verdance, Thorn of the Rose",Dorinthea Ironsong,1,12
battle-hardened-perth-2025-beyond-odyssey,1,23737341,"Verdance, Thorn of the Rose",Dorinthea Ironsong,1,12
battle-hardened-perth-2025-beyond-odyssey,1,23737341,"Verdance, Thorn of the Rose",Dorinthea Ironsong,1,12
battle-hardened-perth-2025-beyond-odyssey,1,69148916,"Verdance, Thorn of the Rose","Arakni, 5L!p3d 7hRu 7h3 cR4X",0,13
battle-hardened-perth-2025-beyond-odyssey,1,69148916,"Verdance, Thorn of the Rose","Arakni, 5L!p3d 7hRu 7h3 cR4X",0,13
battle-hardened-perth-2025-beyond-odyssey,1,69148916,"Verdance, Thorn of the Rose","Arakni, 5L!p3d 7hRu 7h3 cR4X",0,13
battle-hardened-perth-2025-beyond-odyssey,1,69148916,"Verdance, Thorn of the Rose","Arakni, 5L!p3d 7hRu 7h3 cR4X",0,13
battle-hardened-perth-2025-beyond-odyssey,1,69148916,"Verdance, Thorn of the Rose","Arakni, 5L!p3d 7hRu 7h3 cR4X",0,13
battle-hardened-perth-2025-beyond-odyssey,1,66757672,"Arakni, 5L!p3d 7hRu 7h3 cR4X","Verdance, Thorn of the Rose",1,13
battle-hardened-perth-2025-beyond-odyssey,1,66757672,"Arakni, 5L!p3d 7hRu 7h3 cR4X","Verdance, Thorn of the Rose",1,13
battle-hardened-perth-2025-beyond-odyssey,1,66757672,"Arakni, 5L!p3d 7hRu 7h3 cR4X","Verdance, Thorn of the Rose",1,13
battle-hardened-perth-2025-beyond-odyssey,1,66757672,"Arakni, 5L!p3d 7hRu 7h3 cR4X","Verdance, Thorn of the Rose",1,13
battle-hardened-perth-2025-beyond-odyssey,1,66757672,"Arakni, 5L!p3d 7hRu 7h3 cR4X","Verdance, Thorn of the Rose",1,13
battle-hardened-perth-2025-beyond-odyssey,1,68784787,Kassai of the Golden Sand,"Valda, Seismic Impact",0,14
battle-hardened-perth-2025-beyond-odyssey,1,68784787,Kassai of the Golden Sand,"Valda, Seismic Impact",0,14
battle-hardened-perth-2025-beyond-odyssey,1,68784787,Kassai of the Golden Sand,"Valda, Seismic Impact",0,14
battle-hardened-perth-2025-beyond-odyssey,1,68784787,Kassai of the Golden Sand,"Valda, Seismic Impact",0,14
battle-hardened-perth-2025-beyond-odyssey,1,68784787,Kassai of the Golden Sand,"Valda, Seismic Impact",0,14
battle-hardened-perth-2025-beyond-odyssey,1,75569658,"Valda, Seismic Impact",Kassai of the Golden Sand,1,14
battle-hardened-perth-2025-beyond-odyssey,1,75569658,"Valda, Seismic Impact",Kassai of the Golden Sand,1,14
battle-hardened-perth-2025-beyond-odyssey,1,75569658,"Valda, Seismic Impact",Kassai of the Golden Sand,1,14
battle-hardened-perth-2025-beyond-odyssey,1,75569658,"Valda, Seismic Impact",Kassai of the Golden Sand,1,14
battle-hardened-perth-2025-beyond-odyssey,1,75569658,"Valda, Seismic Impact",Kassai of the Golden Sand,1,14
battle-hardened-perth-2025-beyond-odyssey,1,48776769,"Gravy Bones, Shipwrecked Looter","Arakni, 5L!p3d 7hRu 7h3 cR4X",1,15
battle-hardened-perth-2025-beyond-odyssey,1,48776769,"Gravy Bones, Shipwrecked Looter","Arakni, 5L!p3d 7hRu 7h3 cR4X",1,15
battle-hardened-perth-2025-beyond-odyssey,1,48776769,"Gravy Bones, Shipwrecked Looter","Arakni, 5L!p3d 7hRu 7h3 cR4X",1,15
battle-hardened-perth-2025-beyond-odyssey,1,48776769,"Gravy Bones, Shipwrecked Looter","Arakni, 5L!p3d 7hRu 7h3 cR4X",1,15
battle-hardened-perth-2025-beyond-odyssey,1,48776769,"Gravy Bones, Shipwrecked Looter","Arakni, 5L!p3d 7hRu 7h3 cR4X",1,15
battle-hardened-perth-2025-beyond-odyssey,1,68941746,"Arakni, 5L!p3d 7hRu 7h3 cR4X","Gravy Bones, Shipwrecked Looter",0,15
